rank,web
0,tmall.com
1,baidu.com
2,qq.com
3,sohu.com
4,taobao.com
5,360.cn
6,jd.com
7,weibo.com
8,sina.com.cn
9,xinhuanet.com
10,alipay.com
11,panda.tv
12,zhanqi.tv
13,csdn.net
14,google.com.hk
15,tianya.cn
16,huanqiu.com
17,yy.com
18,17ok.com
19,1688.com
20,sogou.com
21,mama.cn
22,so.com
23,jrj.com.cn
24,babytree.com
25,google.cn
26,haosou.com
27,cnblogs.com
28,6.cn
29,gome.com.cn
30,163.com
31,aliyun.com
32,hao123.com
33,zhihu.com
34,rednet.cn
35,bilibili.com
36,iqiyi.com
37,51sole.com
38,eastday.com
39,cnzz.com
40,51.la
41,google.com
42,soso.com
43,360.com
44,cnnic.cn
45,tudou.com
46,sonhoo.com
47,amazon.cn
48,youtube.com
49,zol.com.cn
50,efu.com.cn
51,bing.com
52,cdstm.cn
53,iyiou.com
54,jianshu.com
55,focus.cn
56,ih5.cn
57,ibicn.com
58,58.com
59,mfisp.com
60,gusuwang.com
61,liansuo.com
62,51yes.com
63,ecv360.com
64,360doc.com
65,yc58.com
66,312168.com
67,meituan.com
68,ccaonline.cn
69,dianping.com
70,mseav.com
71,sq.cn
72,cpic.com.cn
73,douban.com
74,runoob.com
75,ekaie.com
76,huaban.com
77,oschina.net
78,kq36.com
79,chinaz.com
80,house365.com
81,caigou2003.com
82,chinanetrank.com
83,qdn.cn
84,babyschool.com.cn
85,it168.com
86,umeng.com
87,hh010.com
88,smm.cn
89,people.com.cn
90,youth.cn
91,cnbeta.com
92,huajiarui.com.cn
93,youku.com
94,haoyer.com
95,chinachugui.com
96,chinayigui.com
97,chinamenwang.com
98,vvvdj.com
99,chinaweiyu.com
100,tencent.com
101,morningpost.com.cn
102,9384.com
103,258.com
104,chaduo.com
105,pcbaby.com.cn
106,v2ex.com
107,home77.com
108,iweihai.cn
109,jia400.com
110,xabbs.com
111,huim.com
112,weixinyunduan.com
113,eee114.com
114,jb51.net
115,chinafloor.cn
116,w3school.com.cn
117,iliangcang.com
118,toutiao.com
119,eastmoney.com
120,huamu.cn
121,creditchina.gov.cn
122,boc.cn
123,zhibo8.cc
124,tiaomu.com
125,gamersky.com
126,91jm.com
127,guifun.com
128,gongkong.com
129,fun48.com
130,510hr.com
131,docin.com
132,www.gov.cn
133,cebnet.com.cn
134,pchouse.com.cn
135,chinadaily.com.cn
136,haofang.net
137,gmw.cn
138,zcool.com.cn
139,36kr.com
140,dedecms.com
141,alimama.com
142,wordpress.com
143,znds.com
144,xmnn.cn
145,xiami.com
146,topfo.com
147,chinadd.cn
148,anjuke.com
149,duba.com
150,zxxk.com
151,renren.com
152,shimo.im
153,gh0089.com
154,3dmgame.com
155,jjwxc.net
156,mydrivers.com
157,cfsbcn.com
158,eqxiu.com
159,wangdaidongfang.com
160,dangdang.com
161,firefoxchina.cn
162,ywart.com
163,oeeee.com
164,52pk.com
165,southcn.com
166,tsichuan.com
167,rencaijob.com
168,jzjncy.com
169,newsmth.net
170,familydoctor.com.cn
171,51auto.com
172,sina.cn
173,5858.com
174,chooseauto.com.cn
175,ngacn.cc
176,cnwnews.com
177,5acbd.com
178,t66y.com
179,b2b.cn
180,wto168.net
181,9978.cn
182,ebrun.com
183,chinajsq.cn
184,kdslife.com
185,xtx6.com
186,9lianmeng.com
187,5dcar.com
188,amazon.com
189,720vt.com
190,313.cn
191,chinabm.cn
192,52pojie.cn
193,chsi.com.cn
194,xgo.com.cn
195,lamabang.com
196,douyu.com
197,mei.net.cn
198,hrloo.com
199,9r.cn
200,visitbeijing.com.cn
201,hjenglish.com
202,400.cn
203,onlinedown.net
204,ifeng.com
205,365jia.cn
206,ynet.com
207,uimaker.com
208,apple.com.cn
209,sf-express.com
210,ems.com.cn
211,goldcarpet.cn
212,gangde.net
213,5118.com
214,kafan.cn
215,tmtpost.com
216,smzdm.com
217,bzw315.com
218,xiu.com
219,huya.com
220,cyol.com
221,aizhan.com
222,cqhot.cn
223,caichongwang.com
224,xjtu.edu.cn
225,chinagate.cn
226,yinyuetai.com
227,appgame.com
228,mojifen.com
229,jd.hk
230,quandashi.com
231,hnu.edu.cn
232,dangbei.com
233,fanlibang.com
234,hea.cn
235,chinaswitch.com
236,imooc.com
237,sjtu.edu.cn
238,niuche.com
239,bbwhf.com
240,eccn.com
241,d1net.com
242,lianjia.com
243,7po.com
244,cnki.net
245,66cruises.com
246,diannaojc.com
247,kuaidi100.com
248,jxmall.com
249,youdao.com
250,weibo.cn
251,720mp4.com
252,fanwenwangzhan.com
253,jnu.edu.cn
254,61ef.cn
255,vmall.com
256,szu.edu.cn
257,worktile.com
258,36dm.com
259,126.com
260,gxu.edu.cn
261,39.net
262,sznews.com
263,qcloud.com
264,zhcw.com
265,battlenet.com.cn
266,kugou.com
267,winshang.com
268,cncn.org.cn
269,ximalaya.com
270,nga.cn
271,2345.com
272,yxdown.com
273,bozhong.com
274,sunsu521.com
275,wkzuche.com
276,d1ev.com
277,hangseng.com
278,cn163.net
279,9876ydd.com
280,fx678.com
281,7gz.com
282,lhy999.com
283,800hr.com
284,gao7.com
285,wanfangdata.com.cn
286,china-ef.com
287,123.com.cn
288,foodmate.net
289,yixiin.com
290,feng.com
291,19888.tv
292,dytt8.net
293,skycn.com
294,ooopic.com
295,ccidnet.com
296,chinatax.gov.cn
297,dv37.com
298,gongchang.com
299,sou300.com
300,93913.com
301,thepaper.cn
302,miaopai.com
303,baiducontent.com
304,4px.com
305,yijiadh.com
306,vip.com
307,xiaomi.com
308,hao245.com
309,114la.com
310,lieyunwang.com
311,pku.edu.cn
312,zhaopin.com
313,wikipedia.org
314,haiwainet.cn
315,xitek.com
316,xiachufang.com
317,dxy.cn
318,10010.com
319,spzs.com
320,techweb.com.cn
321,flyme.cn
322,jiemian.com
323,sciencenet.cn
324,hkgolden.com
325,gamedog.cn
326,a9vg.com
327,nih.gov
328,51job.com
329,mtime.com
330,189.cn
331,guidechem.com
332,huxiu.com
333,ali213.net
334,zhiding.cn
335,wjyt-china.org
336,sz.gov.cn
337,ijie.com
338,youzan.com
339,aliexpress.com
340,autohome.com.cn
341,zhaoshang.net
342,maidi.me
343,xiazaiba.com
344,sumibuy.com
345,chinabus.info
346,x-mol.com
347,fy169.net
348,qeqeqe.com
349,7k7k.com
350,verydesigner.cn
351,3t.cn
352,microsoft.com
353,timeoutcn.com
354,chuandong.com
355,gd.gov.cn
356,itavcn.com
357,byrenjia.com
358,91boshi.net
359,51ade.com
360,w7000.com
361,ylsw.com
362,gfan.com
363,90tiyu.com
364,xiaohongshu.com
365,zhuwang.cc
366,9game.cn
367,rabbitpre.com
368,topbiz360.com
369,china360.cn
370,zxart.cn
371,cr173.com
372,xxinn887.com
373,zhangyu.tv
374,duomai.com
375,haoliv.com
376,lidingzhong.com
377,cloudscar.com
378,zbj.com
379,miit.gov.cn
380,178.com
381,yes206.com
382,doc88.com
383,1717pk.com
384,aso100.com
385,liecheng.cn
386,aipai.com
387,6789.com
388,verycd.com
389,cctv.com
390,subhd.com
391,dapenti.com
392,u17.com
393,hupu.com
394,iod2.cn
395,fzg360.com
396,btkitty.bid
397,hc360.com
398,banma.com
399,camfrog.com
400,beijing.gov.cn
401,hudong.com
402,west.cn
403,cnr.cn
404,chuansong.me
405,ftchinese.com
406,meizu.com
407,cnal.com
408,588ku.com
409,zju.edu.cn
410,book118.com
411,miercn.com
412,mingpao.com
413,yhd.com
414,10jqka.com.cn
415,tongtool.com
416,acfun.cn
